"iso","weight_source","value_mtco2_yr"
"AUT","cw_lulucf_co2",-5.95
"BEL","cw_lulucf_co2",-2.97
"BGR","cw_lulucf_co2",-23.63
"CYP","cw_lulucf_co2",-0.26
"CZE","cw_lulucf_co2",-0.8
"DEU","cw_lulucf_co2",-0.33
"DNK","cw_lulucf_co2",1.2
"ESP","cw_lulucf_co2",-31.08
"EST","cw_lulucf_co2",1.4
"FIN","cw_lulucf_co2",-8.6
"FRA","cw_lulucf_co2",-65.31
"GBR","cw_lulucf_co2",12.3
"GRC","cw_lulucf_co2",1.19
"HRV","cw_lulucf_co2",-0.82
"HUN","cw_lulucf_co2",2.01
"IRL","cw_lulucf_co2",6.68
"ITA","cw_lulucf_co2",-34.8
"LTU","cw_lulucf_co2",5.05
"LUX","cw_lulucf_co2",-0.52
"LVA","cw_lulucf_co2",-10.93
"MLT","cw_lulucf_co2",0
"NLD","cw_lulucf_co2",5.04
"POL","cw_lulucf_co2",-53.38
"PRT","cw_lulucf_co2",-0.42
"ROU","cw_lulucf_co2",-24.59
"SVK","cw_lulucf_co2",-8.37
"SVN","cw_lulucf_co2",-9.37
"SWE","cw_lulucf_co2",-14.73
