X,legend,color,style
Capacity|Electricity|Solar,Solar,#ffcc00,bar
Capacity|Electricity|Oil,Oil,#663a00,bar
Capacity|Electricity|Wind,Wind,#337fff,bar
Capacity|Electricity|Coal,Coal,#0c0c0c,bar
Capacity|Electricity|Gas,Gas,#999959,bar
Capacity|Electricity|Nuclear,Nuclear,#ff33ff,bar
Capacity|Electricity|Biomass,Biomass,#005900,bar
Capacity|Electricity|Geothermal,Geothermal,#e51900,bar
Capacity|Electricity|PGCSP,PGCSP,#ffb400,bar
Capacity|Electricity|PGAWND,PGAWND,#8800ff,bar
Capacity|Electricity|PGAWNO,PGAWNO,#334cff,bar
Capacity|Electricity|PGSOL,PGSOL,#ffe600,bar
Capacity|Electricity|Hydro,Hydro,#07cbf2,bar
Capacity|Electricity|CHP,CHP,#87e6a4,bar
Secondary Energy|Electricity|PGAWND,PGAWND,#8800ff,bar
Secondary Energy|Electricity|PGAWNO,PGAWNO,#334cff,bar
Secondary Energy|Electricity|PGCSP,PGCSP,#ffb400,bar
Secondary Energy|Electricity|PGSOL,PGSOL,#ffe600,bar
Secondary Energy|Electricity|Coal,Coal,#0c0c0c,bar
Secondary Energy|Electricity|Gas,Gas,#999959,bar
Secondary Energy|Electricity|Hydro,Hydro,#07cbf2,bar
Secondary Energy|Electricity|CHP,CHP,#87e6a4,bar
Secondary Energy|Electricity|Biomass,Biomass,#005900,bar
Secondary Energy|Electricity|Demand,Demand,red,dLine
Secondary Energy|Electricity|Biomass|Non-CHP|w/ CCS,Biomass w/ CCS,#37e314,area
Secondary Energy|Electricity|Biomass|Non-CHP|w/o CCS,Biomass w/o CCS,#123d0a,area
Secondary Energy|Electricity|Coal|Non-CHP|w/ CCS,Coal w/ CCS,#7b807a,area
Secondary Energy|Electricity|Coal|Non-CHP|w/o CCS,Coal w/o CCS,#262625,area
Secondary Energy|Electricity|Gas|Non-CHP|w/ CCS,Gas w/ CCS,#bfbf69,area
Secondary Energy|Electricity|Gas|Non-CHP|w/o CCS,Gas w/o CCS,#595933,area
Secondary Energy|Electricity|Biomass|Non-CHP,Biomass w/ CHP,#37e315,area
Secondary Energy|Electricity|Biomass|CHP,Biomass w/o CHP,#123d0a,area
Secondary Energy|Electricity|Coal|Non-CHP,Coal w/ CHP,#7b807a,area
Secondary Energy|Electricity|Coal|CHP,Coal w/o CHP,#262625,area
Secondary Energy|Electricity|Gas|Non-CHP,Gas w/ CHP,#bfbf69,area
Secondary Energy|Electricity|Gas|CHP,Gas w/o CHP,#595933,area
Final Energy|Non Energy and Bunkers,Non Energy and Bunkers,yellow,bar
Final Energy|Industry,Industry,orange,bar
Final Energy|Transportation,Transportation,black,bar
Final Energy|Residential and Commercial,Res and Com,red,bar
Final Energy|Biomass,Biomass,#00b219,bar
Final Energy|Carbon Dioxide Removal,CDR,blue,bar
Emissions|CO2|Energy|Demand|Bunkers,Bunkers,yellow,bar
Emissions|CO2|Energy|Supply,Supply,#bcbc6d,bar
Emissions|CO2|Cumulated,Cumulated,#661a00,bar
Emissions|CO2|,Total,red,dLine
Emissions|CO2|Carbon Dioxide Removal,CDR,#87e6a4,bar
Emissions|CO2|AFOLU,AFOLU,#595933,bar
Emissions|CO2|Industrial Processes,Industrial Processes,#661a00,bar
Emissions|CO2|Energy|Demand|Industry,Industry,orange,bar
Emissions|CO2|Energy|Demand|Residential and Commercial,Res and Com,#0000FF,bar
Emissions|CO2|Energy|Demand|Transportation,Transportation,#000000,bar
Price|Carbon|,Price|Carbon,#661a00,dLine
Gross Inland Consumption|Biomass and Waste|,Biomass,#661a01,dLine
