node,EF
Primary Energy,HCL
Primary Energy,LGN
Primary Energy,CRO
Primary Energy,NGS
Primary Energy,BMSWAS
Primary Energy|Fossil,HCL
Primary Energy|Fossil,LGN
Primary Energy|Fossil,CRO
Primary Energy|Fossil,NGS
Primary Energy|Coal,HCL
Primary Energy|Coal,LGN
Primary Energy|Coal|Hard Coal,HCL
Primary Energy|Coal|Lignite,LGN
Primary Energy|Oil,CRO
Primary Energy|Gas,NGS
Primary Energy|Biomass,BMSWAS
Secondary Energy,LPG
Secondary Energy,GSL
Secondary Energy,BGSL
Secondary Energy,KRS
Secondary Energy,BKRS
Secondary Energy,GDO
Secondary Energy,BGDO
Secondary Energy,RFO
Secondary Energy,OLQ
Secondary Energy,MET
Secondary Energy,ETH
Secondary Energy,OGS
Secondary Energy,BGAS
Secondary Energy,ELC
Secondary Energy,STE
Secondary Energy,H2F
Secondary Energy|Liquids,LPG
Secondary Energy|Liquids,GSL
Secondary Energy|Liquids,BGSL
Secondary Energy|Liquids,KRS
Secondary Energy|Liquids,BKRS
Secondary Energy|Liquids,GDO
Secondary Energy|Liquids,BGDO
Secondary Energy|Liquids,RFO
Secondary Energy|Liquids,OLQ
Secondary Energy|Liquids,MET
Secondary Energy|Liquids,ETH
Secondary Energy|Liquids|LPG,LPG
Secondary Energy|Liquids|Gasoline,GSL
Secondary Energy|Liquids|Gasoline,BGSL
Secondary Energy|Liquids|Kerosene,KRS
Secondary Energy|Liquids|Kerosene,BKRS
Secondary Energy|Liquids|Diesel,GDO
Secondary Energy|Liquids|Diesel,BGDO
Secondary Energy|Liquids|Fuel Oil,RFO
Secondary Energy|Liquids|Other,OLQ
Secondary Energy|Liquids|Other,MET
Secondary Energy|Liquids|Other,ETH
Secondary Energy|Gases,OGS
Secondary Energy|Gases,BGAS
Secondary Energy|Gases|Derived,OGS
Secondary Energy|Gases|Biogas,BGAS
Secondary Energy|Electricity,ELC
Secondary Energy|Heat,STE
Secondary Energy|Hydrogen,H2F
Secondary Energy|Biofuels,BGSL
Secondary Energy|Biofuels,BKRS
Secondary Energy|Biofuels,BGDO
Secondary Energy|Biofuels|Biogasoline,BGSL
Secondary Energy|Biofuels|Biokerosene,BKRS
Secondary Energy|Biofuels|Biodiesel,BGDO
